,price
2018-01-02,40.56892395019531
2018-01-03,40.56187057495117
2018-01-04,40.750267028808594
2018-01-05,41.2142333984375
2018-01-08,41.06114196777344
2018-01-09,41.05643844604492
2018-01-10,41.04701614379883
2018-01-11,41.28015899658203
2018-01-12,41.70643997192383
2018-01-16,41.49448013305664
2018-01-17,42.1798095703125
2018-01-18,42.21750259399414
2018-01-19,42.029090881347656
2018-01-22,41.68525314331055
2018-01-23,41.694671630859375
2018-01-24,41.03052520751953
2018-01-25,40.298091888427734
2018-01-26,40.39229202270508
2018-01-29,39.55624008178711
2018-01-30,39.32309341430664
2018-01-31,39.43140411376953
2018-02-01,39.51383972167969
2018-02-02,37.799339294433594
2018-02-05,36.854949951171875
2018-02-06,38.39517593383789
2018-02-07,37.573238372802734
2018-02-08,36.53935241699219
2018-02-09,36.98629379272461
2018-02-12,38.47604751586914
2018-02-13,38.86148834228515
2018-02-14,39.5780029296875
2018-02-15,40.90695571899414
2018-02-16,40.7745475769043
2018-02-20,40.63738250732422
2018-02-21,40.45293045043945
2018-02-22,40.79108428955078
2018-02-23,41.500492095947266
2018-02-26,42.32105255126953
2018-02-27,42.18389892578125
2018-02-28,42.12004852294922
2018-03-01,41.382266998291016
2018-03-02,41.66838836669922
2018-03-05,41.812644958496094
2018-03-06,41.77718353271485
2018-03-07,41.38935089111328
2018-03-08,41.84101486206055
2018-03-09,42.55987548828125
2018-03-12,42.97134780883789
2018-03-13,42.5575065612793
2018-03-14,42.19571685791016
2018-03-15,42.2453727722168
2018-03-16,42.09640121459961
2018-03-19,41.45320892333984
2018-03-20,41.43901443481445
2018-03-21,40.50022888183594
2018-03-22,39.92797088623047
2018-03-23,39.00337600708008
2018-03-26,40.85493850708008
2018-03-27,39.8073616027832
2018-03-28,39.36753463745117
2018-03-29,39.67494583129883
2018-04-02,39.414833068847656
2018-04-03,39.81919860839844
2018-04-04,40.58061981201172
2018-04-05,40.86203384399414
2018-04-06,39.81682968139648
2018-04-09,40.21173477172851
2018-04-10,40.96843719482422
2018-04-11,40.77690505981445
2018-04-12,41.17889022827149
2018-04-13,41.31842041015625
2018-04-16,41.576171875
2018-04-17,42.148441314697266
2018-04-18,42.053836822509766
2018-04-19,40.86203384399414
2018-04-20,39.18782424926758
2018-04-23,39.074310302734375
2018-04-24,38.53043746948242
2018-04-25,38.69832992553711
2018-04-26,38.833126068115234
2018-04-27,38.383819580078125
2018-04-30,39.07905197143555
2018-05-01,39.987091064453125
2018-05-02,41.75352478027344
2018-05-03,41.82919692993164
2018-05-04,43.47029876708984
2018-05-07,43.784793853759766
2018-05-08,43.99524688720703
2018-05-09,44.30501937866211
2018-05-10,44.93877029418945
2018-05-11,44.76785659790039
2018-05-14,44.66341018676758
2018-05-15,44.25748062133789
2018-05-16,44.670536041259766
2018-05-17,44.38804626464844
2018-05-18,44.22663879394531
2018-05-21,44.539981842041016
2018-05-22,44.428409576416016
2018-05-23,44.71326446533203
2018-05-24,44.66341018676758
2018-05-25,44.76548385620117
2018-05-29,44.60405731201172
2018-05-30,44.50910568237305
2018-05-31,44.35955810546875
2018-06-01,45.15953826904297
2018-06-04,45.53697204589844
2018-06-05,45.888301849365234
2018-06-06,46.0473518371582
2018-06-07,45.92390823364258
2018-06-08,45.50612258911133
2018-06-11,45.39453887939453
2018-06-12,45.643795013427734
2018-06-13,45.26872634887695
2018-06-14,45.292476654052734
