,price
2018-01-02,79.79291534423828
2018-01-03,80.16426086425781
2018-01-04,80.86981201171875
2018-01-05,81.87246704101562
2018-01-08,81.95600891113281
2018-01-09,81.90029907226562
2018-01-10,81.52896881103516
2018-01-11,81.77033996582031
2018-01-12,83.18146514892578
2018-01-16,82.02098083496094
2018-01-17,83.68275451660156
2018-01-18,83.64561462402344
2018-01-19,83.55278778076172
2018-01-22,85.04745483398438
2018-01-23,85.3166732788086
2018-01-24,85.24240112304688
2018-01-25,85.71588897705078
2018-01-26,87.32195281982422
2018-01-29,87.19195556640625
2018-01-30,86.09651947021484
2018-01-31,88.20391082763672
2018-02-01,87.50763702392578
2018-02-02,85.20526885986328
2018-02-05,81.696044921875
2018-02-06,84.78752899169922
2018-02-07,83.19071960449219
2018-02-08,78.92024230957031
2018-02-09,81.8631591796875
2018-02-12,82.74510955810547
2018-02-13,83.39498138427734
2018-02-14,84.7007827758789
2018-02-15,86.42633056640625
2018-02-16,85.81072998046875
2018-02-20,86.48228454589844
2018-02-21,85.33504486083984
2018-02-22,85.55888366699219
2018-02-23,87.73214721679688
2018-02-26,89.00064086914062
2018-02-27,87.86272430419922
2018-02-28,87.4616470336914
2018-03-01,86.6035385131836
2018-03-02,86.79009246826172
2018-03-05,87.34040069580078
2018-03-06,87.04191589355469
2018-03-07,87.54560852050781
2018-03-08,88.07725524902344
2018-03-09,90.04530334472656
2018-03-12,90.25983428955078
2018-03-13,88.05858612060547
2018-03-14,87.5362548828125
2018-03-15,87.84407043457031
2018-03-16,88.23579406738281
2018-03-19,86.64086151123047
2018-03-20,86.86470794677734
2018-03-21,86.25843811035156
2018-03-22,83.7493896484375
2018-03-23,81.31501007080078
2018-03-26,87.4709701538086
2018-03-27,83.4509506225586
2018-03-28,83.37631225585938
2018-03-29,85.12984466552734
2018-04-02,82.56483459472656
2018-04-03,83.67478942871094
2018-04-04,86.11853790283203
2018-04-05,86.16515350341797
2018-04-06,84.15979766845703
2018-04-09,84.66346740722656
2018-04-10,86.63150787353516
2018-04-11,85.68016815185547
2018-04-12,87.28443908691406
2018-04-13,86.81806945800781
2018-04-16,87.8347396850586
2018-04-17,89.60691833496094
2018-04-18,89.9520492553711
2018-04-19,89.64424133300781
2018-04-20,88.60891723632812
2018-04-23,88.93536376953125
2018-04-24,86.85538482666016
2018-04-25,86.0998764038086
2018-04-26,87.918701171875
2018-04-27,89.37373352050781
2018-04-30,87.22847747802734
2018-05-01,88.60891723632812
2018-05-02,87.21915435791016
2018-05-03,87.7414779663086
2018-05-04,88.75813293457031
2018-05-07,89.74683380126953
2018-05-08,89.36441040039062
2018-05-09,90.41840362548828
2018-05-10,91.3231430053711
2018-05-11,91.12725830078124
2018-05-14,91.43506622314452
2018-05-15,90.77283477783205
2018-05-16,91.00701904296876
2018-05-17,90.09835052490234
2018-05-18,90.26697540283205
2018-05-21,91.42857360839844
2018-05-22,91.33488464355467
2018-05-23,92.42155456542967
2018-05-24,92.09365844726562
2018-05-25,92.14051818847656
2018-05-29,91.81263732910156
2018-05-30,92.69319915771484
2018-05-31,92.59014892578124
2018-06-01,94.4168701171875
2018-06-04,95.2412338256836
2018-06-05,95.72834014892578
2018-06-06,96.00936126708984
2018-06-07,94.50116729736328
2018-06-08,95.2037353515625
2018-06-11,94.66041564941406
2018-06-12,94.90396118164062
2018-06-13,94.47305297851562
2018-06-14,95.00701904296876
2018-06-15,93.79859161376952
2018-06-18,94.4824447631836
2018-06-19,94.4824447631836
