,price
2018-01-02,40.56892776489258
2018-01-03,40.561866760253906
2018-01-04,40.750274658203125
2018-01-05,41.2142333984375
2018-01-08,41.06114959716797
2018-01-09,41.05644226074219
2018-01-10,41.047019958496094
2018-01-11,41.28017807006836
2018-01-12,41.70643997192383
2018-01-16,41.4944953918457
2018-01-17,42.17981719970703
2018-01-18,42.21750259399414
2018-01-19,42.02909851074219
2018-01-22,41.68524169921875
2018-01-23,41.69465637207031
2018-01-24,41.03053665161133
2018-01-25,40.298095703125
2018-01-26,40.39229965209961
2018-01-29,39.55622863769531
2018-01-30,39.32308197021485
2018-01-31,39.43141555786133
2018-02-01,39.51384735107422
2018-02-02,37.79933547973633
2018-02-05,36.854942321777344
2018-02-06,38.395172119140625
2018-02-07,37.573238372802734
2018-02-08,36.53936004638672
2018-02-09,36.98628234863281
2018-02-12,38.47604751586914
2018-02-13,38.86149978637695
2018-02-14,39.5780029296875
2018-02-15,40.90696334838867
2018-02-16,40.77452850341797
2018-02-20,40.63738250732422
2018-02-21,40.45293426513672
2018-02-22,40.79109573364258
2018-02-23,41.50049591064453
2018-02-26,42.3210563659668
2018-02-27,42.18389892578125
2018-02-28,42.12004470825195
2018-03-01,41.382266998291016
2018-03-02,41.66838836669922
2018-03-05,41.81264877319336
2018-03-06,41.77716445922851
2018-03-07,41.38935852050781
2018-03-08,41.84101486206055
2018-03-09,42.55988693237305
2018-03-12,42.97134017944336
2018-03-13,42.557518005371094
2018-03-14,42.19571304321289
2018-03-15,42.24538040161133
2018-03-16,42.096397399902344
2018-03-19,41.45319747924805
2018-03-20,41.439022064208984
2018-03-21,40.50022888183594
2018-03-22,39.927974700927734
2018-03-23,39.003379821777344
2018-03-26,40.85493469238281
2018-03-27,39.807373046875
2018-03-28,39.36753463745117
2018-03-29,39.67494201660156
2018-04-02,39.41482925415039
2018-04-03,39.81919860839844
2018-04-04,40.58063507080078
2018-04-05,40.86202621459961
2018-04-06,39.81682586669922
2018-04-09,40.211727142333984
2018-04-10,40.96844100952149
2018-04-11,40.77689743041992
2018-04-12,41.178897857666016
2018-04-13,41.31842422485352
2018-04-16,41.576175689697266
2018-04-17,42.14842987060547
2018-04-18,42.05384063720703
2018-04-19,40.86202621459961
2018-04-20,39.18782424926758
2018-04-23,39.074310302734375
2018-04-24,38.53042984008789
2018-04-25,38.69832992553711
2018-04-26,38.83312225341797
2018-04-27,38.38383102416992
2018-04-30,39.079044342041016
2018-05-01,39.987098693847656
2018-05-02,41.75352478027344
2018-05-03,41.82918930053711
2018-05-04,43.47029495239258
2018-05-07,43.78480529785156
2018-05-08,43.99525451660156
2018-05-09,44.3050422668457
2018-05-10,44.93877029418945
2018-05-11,44.76784896850586
2018-05-14,44.66341018676758
