,price
2020-01-02,73.15264129638672
2020-01-03,72.44145202636719
2020-01-06,73.01868438720703
2020-01-07,72.67527770996094
2020-01-08,73.8443603515625
2020-01-09,75.4128646850586
2020-01-10,75.5833740234375
2020-01-13,77.1981430053711
2020-01-14,76.15573120117188
2020-01-15,75.82936096191406
2020-01-16,76.77922821044922
2020-01-17,77.62924194335938
2020-01-21,77.1031494140625
2020-01-22,77.37837219238281
2020-01-23,77.75102233886719
2020-01-24,77.52696228027344
2020-01-27,75.24724578857422
2020-01-28,77.37593841552734
2020-01-29,78.99561309814453
2020-01-30,78.8811264038086
2020-01-31,75.38363647460938
2020-02-03,75.17662048339844
2020-02-04,77.65847778320312
2020-02-05,78.29173278808594
2020-02-06,79.2074966430664
2020-02-07,78.13084411621094
2020-02-10,78.5019302368164
2020-02-11,78.0283203125
2020-02-12,79.8813247680664
2020-02-13,79.31246948242188
2020-02-14,79.33201599121094
2020-02-18,77.87937927246094
2020-02-19,79.0073013305664
2020-02-20,78.19676971435547
2020-02-21,76.4267807006836
2020-02-24,72.79647827148438
2020-02-25,70.33070373535156
2020-02-26,71.4464111328125
2020-02-27,66.77608489990234
2020-02-28,66.73702239990234
2020-03-02,72.9502944946289
2020-03-03,70.6334457397461
2020-03-04,73.90975189208984
2020-03-05,71.5123291015625
2020-03-06,70.5626449584961
2020-03-09,64.98168182373047
2020-03-10,69.66177368164062
2020-03-11,67.24238586425781
2020-03-12,60.60189437866211
2020-03-13,67.86248779296875
2020-03-16,59.1321907043457
2020-03-17,61.73224258422852
2020-03-18,60.221038818359375
2020-03-19,59.75962066650391
2020-03-20,55.96574783325195
2020-03-23,54.77680206298828
2020-03-24,60.272308349609375
2020-03-25,59.94028091430664
2020-03-26,63.094512939453125
2020-03-27,60.48225784301758
2020-03-30,62.20830535888672
2020-03-31,62.08135223388672
2020-04-01,58.81481552124024
2020-04-02,59.796234130859375
2020-04-03,58.93688201904297
2020-04-06,64.0783920288086
2020-04-07,63.336212158203125
2020-04-08,64.95728302001953
2020-04-09,65.42601776123047
2020-04-13,66.71017456054688
2020-04-14,70.07925415039062
2020-04-15,69.43961334228516
2020-04-16,69.99136352539062
2020-04-17,69.04166412353516
2020-04-20,67.60858917236328
2020-04-21,65.51878356933594
2020-04-22,67.40596008300781
2020-04-23,67.14473724365234
2020-04-24,69.08316040039062
