,price
2018-01-02,80.08091735839844
2018-01-03,80.45361328125
2018-01-04,81.16171264648438
2018-01-05,82.16796875
2018-01-08,82.25181579589844
2018-01-09,82.1959228515625
2018-01-10,81.82322692871094
2018-01-11,82.06549835205078
2018-01-12,83.48167419433594
2018-01-16,82.3170394897461
2018-01-17,83.98480224609375
2018-01-18,83.9475326538086
2018-01-19,83.85435485839844
2018-01-22,85.35441589355469
2018-01-23,85.62462615966797
2018-01-24,85.55008697509766
2018-01-25,86.0252914428711
2018-01-26,87.63712310791016
2018-01-29,87.50666046142578
2018-01-30,86.40726470947266
2018-01-31,88.52226257324219
2018-02-01,87.8234634399414
2018-02-02,85.51282501220703
2018-02-05,81.99093627929688
2018-02-06,85.09355926513672
2018-02-07,83.49099731445312
2018-02-08,79.20511627197266
2018-02-09,82.15863037109375
2018-02-12,83.04374694824219
2018-02-13,83.69599914550781
2018-02-14,85.00650787353516
2018-02-15,86.73826599121094
2018-02-16,86.1204605102539
2018-02-20,86.79444122314453
2018-02-21,85.64302825927734
2018-02-22,85.86772155761719
2018-02-23,88.04878997802734
2018-02-26,89.3218765258789
2018-02-27,88.17984771728516
2018-02-28,87.7773208618164
2018-03-01,86.9161605834961
2018-03-02,87.10334777832031
2018-03-05,87.65564727783203
2018-03-06,87.3561019897461
2018-03-07,87.86157989501953
2018-03-08,88.3951416015625
2018-03-09,90.3703155517578
2018-03-12,90.58560943603516
2018-03-13,88.37643432617188
2018-03-14,87.85222625732422
2018-03-15,88.16114044189453
2018-03-16,88.55427551269531
2018-03-19,86.95356750488281
2018-03-20,87.17823791503906
2018-03-21,86.56977844238281
2018-03-22,84.05168151855469
2018-03-23,81.60848999023438
2018-03-26,87.78669738769531
2018-03-27,83.75215148925781
2018-03-28,83.67725372314453
2018-03-29,85.43708801269531
2018-04-02,82.86285400390625
2018-04-03,83.9767837524414
2018-04-04,86.42937469482422
2018-04-05,86.47616577148438
2018-04-06,84.46357727050781
2018-04-09,84.96903991699219
2018-04-10,86.94422149658203
2018-04-11,85.98939514160156
2018-04-12,87.5994873046875
2018-04-13,87.13142395019531
2018-04-16,88.15177154541016
2018-04-17,89.93033599853516
2018-04-18,90.27669525146484
2018-04-19,89.9677734375
2018-04-20,88.92871856689453
2018-04-23,89.25635528564453
2018-04-24,87.16885375976562
2018-04-25,86.41065216064453
2018-04-26,88.23601531982422
2018-04-27,89.69632720947266
2018-04-30,87.5433120727539
2018-05-01,88.92871856689453
2018-05-02,87.53396606445312
2018-05-03,88.05817413330078
2018-05-04,89.0785140991211
2018-05-07,90.07077026367188
2018-05-08,89.68695831298828
2018-05-09,90.74473571777344
2018-05-10,91.65275573730467
2018-05-11,91.4561767578125
2018-05-14,91.7650909423828
2018-05-15,91.10045623779295
2018-05-16,91.33551025390624
2018-05-17,90.42354583740234
2018-05-18,90.5927734375
