,price
2018-01-02,79.79292297363281
2018-01-03,80.16424560546875
2018-01-04,80.86981964111328
2018-01-05,81.87245178222656
2018-01-08,81.95600128173828
2018-01-09,81.90030670166016
2018-01-10,81.52896881103516
2018-01-11,81.77031707763672
2018-01-12,83.18143463134766
2018-01-16,82.02100372314453
2018-01-17,83.68275451660156
2018-01-18,83.6456298828125
2018-01-19,83.55279541015625
2018-01-22,85.0474624633789
2018-01-23,85.31668853759766
2018-01-24,85.2424087524414
2018-01-25,85.71587371826172
2018-01-26,87.32194519042969
2018-01-29,87.19197082519531
2018-01-30,86.09651947021484
2018-01-31,88.20391082763672
2018-02-01,87.50762176513672
2018-02-02,85.20527648925781
2018-02-05,81.69605255126953
2018-02-06,84.78754425048828
2018-02-07,83.19072723388672
2018-02-08,78.92024230957031
2018-02-09,81.8631820678711
2018-02-12,82.74510955810547
2018-02-13,83.39496612548828
2018-02-14,84.7007827758789
2018-02-15,86.42631530761719
2018-02-16,85.81072235107422
2018-02-20,86.4822998046875
2018-02-21,85.33503723144531
2018-02-22,85.55890655517578
2018-02-23,87.73213195800781
2018-02-26,89.00066375732422
2018-02-27,87.86272430419922
2018-02-28,87.46163940429688
2018-03-01,86.6035385131836
2018-03-02,86.79008483886719
2018-03-05,87.34037780761719
2018-03-06,87.04193115234375
2018-03-07,87.54560852050781
2018-03-08,88.07726287841797
2018-03-09,90.0453109741211
2018-03-12,90.2598114013672
2018-03-13,88.0586166381836
2018-03-14,87.53627014160156
2018-03-15,87.84407043457031
2018-03-16,88.23580932617188
2018-03-19,86.64085388183594
2018-03-20,86.86470794677734
2018-03-21,86.2584457397461
2018-03-22,83.7493896484375
2018-03-23,81.31497955322266
2018-03-26,87.47097778320312
2018-03-27,83.450927734375
2018-03-28,83.37629699707031
2018-03-29,85.12983703613281
2018-04-02,82.56485748291016
2018-04-03,83.67478942871094
2018-04-04,86.11851501464844
2018-04-05,86.1651611328125
2018-04-06,84.15980529785156
2018-04-09,84.6634521484375
2018-04-10,86.63154602050781
2018-04-11,85.6801528930664
2018-04-12,87.28441619873047
2018-04-13,86.81807708740234
2018-04-16,87.83472442626953
2018-04-17,89.60691833496094
2018-04-18,89.9520034790039
2018-04-19,89.64423370361328
2018-04-20,88.60891723632812
2018-04-23,88.93534851074219
2018-04-24,86.85537719726562
2018-04-25,86.09986877441406
2018-04-26,87.9186782836914
2018-04-27,89.37374114990234
2018-04-30,87.22845458984375
2018-05-01,88.60891723632812
2018-05-02,87.21915435791016
2018-05-03,87.74148559570312
2018-05-04,88.7581558227539
2018-05-07,89.74683380126953
2018-05-08,89.36441040039062
2018-05-09,90.41839599609376
2018-05-10,91.32312774658205
2018-05-11,91.12725830078124
2018-05-14,91.4350814819336
2018-05-15,90.77281951904295
2018-05-16,91.00701904296876
2018-05-17,90.09835815429688
2018-05-18,90.26695251464844
2018-05-21,91.42857360839844
2018-05-22,91.33489227294922
2018-05-23,92.42154693603516
2018-05-24,92.09366607666016
2018-05-25,92.1405029296875
2018-05-29,91.81265258789062
2018-05-30,92.69320678710938
2018-05-31,92.59016418457033
2018-06-01,94.4168472290039
2018-06-04,95.24120330810548
2018-06-05,95.72834014892578
2018-06-06,96.00935363769533
2018-06-07,94.50118255615234
2018-06-08,95.20375061035156
2018-06-11,94.66040802001952
2018-06-12,94.90396118164062
2018-06-13,94.47306060791016
2018-06-14,95.00701904296876
2018-06-15,93.79857635498048
2018-06-18,94.482421875
2018-06-19,94.482421875
2018-06-20,95.4285659790039
2018-06-21,94.7447280883789
2018-06-22,94.06088256835938
2018-06-25,92.16862487792967
2018-06-26,92.81497955322266
2018-06-27,91.37236785888672
2018-06-28,92.39344024658205
2018-06-29,92.3747100830078
2018-07-02,93.68617248535156
2018-07-03,92.7868881225586
2018-07-05,93.45199584960938
2018-07-06,94.7634735107422
2018-07-09,95.40982818603516
2018-07-10,95.66275787353516
2018-07-11,95.5316162109375
2018-07-12,97.60186767578124
2018-07-13,98.76346588134766
2018-07-16,98.27635955810548
2018-07-17,99.25057983398438
2018-07-18,98.47306823730467
2018-07-19,97.79859924316406
2018-07-20,99.55033111572266
2018-07-23,101.14287567138672
2018-07-24,100.85244750976562
2018-07-25,103.82200622558594
2018-07-26,102.68853759765624
2018-07-27,100.87120056152344
2018-07-30,98.70726776123048
2018-07-31,99.37236785888672
2018-08-01,99.55970764160156
2018-08-02,100.76812744140624
2018-08-03,101.20842742919922
2018-08-06,101.29273223876952
2018-08-07,101.99530792236328
2018-08-08,102.56674194335938
2018-08-09,102.7353744506836
2018-08-10,102.10771942138672
2018-08-13,101.36766815185548
2018-08-14,102.63232421875
2018-08-15,101.24054718017578
2018-08-16,101.22175598144533
2018-08-17,101.16533660888672
2018-08-20,100.49767303466795
2018-08-21,99.66072845458984
2018-08-22,100.67632293701172
2018-08-23,101.14652252197266
2018-08-24,101.9364242553711
2018-08-27,103.06488800048828
2018-08-28,103.68553924560548
2018-08-29,105.3405990600586
2018-08-30,105.27476501464844
2018-08-31,105.63209533691406
2018-09-04,105.04906463623048
2018-09-05,102.02107238769533
2018-09-06,102.25616455078124
2018-09-07,101.75775146484376
2018-09-10,102.85800170898438
2018-09-11,104.60709381103516
2018-09-12,105.04906463623048
2018-09-13,106.17752838134766
2018-09-14,106.61009216308594
2018-09-17,105.45343780517578
2018-09-18,106.45964813232422
2018-09-19,105.03965759277344
2018-09-20,106.79815673828124
2018-09-21,107.44703674316406
2018-09-24,107.83258819580078
2018-09-25,107.6256866455078
2018-09-26,107.18372344970705
2018-09-27,107.5880889892578
2018-09-28,107.55046081542967
2018-10-01,108.71653747558594
2018-10-02,108.28396606445312
2018-10-03,108.3027572631836
2018-10-04,106.06468200683594
2018-10-05,105.4440460205078
2018-10-08,104.24036407470705
2018-10-09,105.56627655029295
2018-10-10,99.83002471923828
2018-10-11,99.59490966796876
2018-10-12,103.03667449951172
2018-10-15,101.18413543701172
2018-10-16,104.3813934326172
2018-10-17,104.1086883544922
2018-10-18,102.03047943115234
2018-10-19,102.1809539794922
2018-10-22,103.09309387207033
2018-10-23,101.65432739257812
2018-10-24,96.2189712524414
2018-10-25,101.8424072265625
2018-10-26,100.58231353759766
2018-10-29,97.65774536132812
2018-10-30,97.5448989868164
2018-10-31,100.44125366210938
2018-11-01,99.60430908203124
2018-11-02,99.83002471923828
2018-11-05,101.09951782226562
2018-11-06,101.29698944091795
2018-11-07,105.28417205810548
2018-11-08,105.08670806884766
2018-11-09,103.03667449951172
2018-11-12,100.49767303466795
2018-11-13,100.56350708007812
2018-11-14,99.13741302490234
2018-11-15,101.31903076171876
2018-11-16,102.2729263305664
2018-11-19,98.8068389892578
2018-11-20,96.05853271484376
2018-11-21,97.3807373046875
2018-11-23,97.3429718017578
2018-11-26,100.55403137207033
2018-11-27,101.1868133544922
2018-11-28,104.94567108154295
2018-11-29,104.0673599243164
2018-11-30,104.7284698486328
2018-12-03,105.86177825927734
2018-12-04,102.49012756347656
2018-12-06,103.1229248046875
2018-12-07,98.99573516845705
2018-12-10,101.61182403564452
2018-12-11,102.5562515258789
2018-12-12,103.01901245117188
2018-12-13,103.36847686767578
2018-12-14,100.13849639892578
2018-12-17,97.17298889160156
2018-12-18,98.19296264648438
2018-12-19,97.92852020263672
2018-12-20,95.8696746826172
2018-12-21,92.77191925048828
2018-12-24,88.89972686767578
2018-12-26,94.9724349975586
2018-12-27,95.55799102783205
2018-12-28,94.81188201904295
2018-12-31,95.9263153076172
2019-01-02,95.50131225585938
2019-01-03,91.98802185058594
2019-01-04,96.26631927490234
2019-01-07,96.38908386230467
2019-01-08,97.0879898071289
2019-01-09,98.47628784179688
2019-01-10,97.84352111816406
2019-01-11,97.0879898071289
2019-01-14,96.37966918945312
2019-01-15,99.17517852783205
2019-01-16,99.5246124267578
2019-01-17,100.22350311279295
2019-01-18,101.72515106201172
2019-01-22,99.80794525146484
2019-01-23,100.7807159423828
2019-01-24,100.29906463623048
2019-01-25,101.21515655517578
2019-01-28,99.2413101196289
2019-01-29,97.22019958496094
2019-01-30,100.46904754638672
2019-01-31,98.62740325927734
2019-02-01,97.06908416748048
2019-02-04,99.86460876464844
2019-02-05,101.26239013671876
2019-02-06,100.13849639892578
2019-02-07,99.42073822021484
2019-02-08,99.79851531982422
2019-02-11,99.40185546875
2019-02-12,100.9507064819336
2019-02-13,100.8751449584961
2019-02-14,100.9601593017578
2019-02-15,102.20680236816406
2019-02-19,102.15959167480467
2019-02-20,101.62844848632812
2019-02-21,103.7719955444336
2019-02-22,105.25160217285156
2019-02-25,105.8396453857422
2019-02-26,106.5699462890625
2019-02-27,106.38977813720705
2019-02-28,106.2569808959961
2019-03-01,106.7312240600586
2019-03-04,106.47512817382812
2019-03-05,105.94400024414062
2019-03-06,105.9914093017578
2019-03-07,104.70150756835938
2019-03-08,104.81529998779295
2019-03-11,107.01576232910156
2019-03-12,107.76504516601562
2019-03-13,108.59969329833984
2019-03-14,108.68505096435548
2019-03-15,109.93702697753906
2019-03-18,111.51148223876952
2019-03-19,111.5873565673828
2019-03-20,111.46405792236328
2019-03-21,114.02491760253906
2019-03-22,111.018310546875
2019-03-25,111.59684753417967
2019-03-26,111.83397674560548
2019-03-27,110.75272369384766
2019-03-28,110.90447998046876
2019-03-29,111.8624267578125
2019-04-01,112.88677978515624
2019-04-02,113.04801177978516
2019-04-03,113.7878189086914
2019-04-04,113.20923614501952
2019-04-05,113.71194458007812
2019-04-08,113.74989318847656
2019-04-09,113.13337707519533
2019-04-10,113.9964828491211
2019-04-11,114.1292724609375
2019-04-12,114.71730041503906
2019-04-15,114.81216430664062
2019-04-16,114.5465850830078
2019-04-17,115.49505615234376
2019-04-18,117.01261901855467
2019-04-22,117.3825225830078
2019-04-23,118.97594451904295
2019-04-24,118.56809997558594
