,price
2018-01-01,
2018-01-02,40.61588668823242
2018-01-03,40.60881423950195
2018-01-04,40.79743957519531
2018-01-05,41.26192855834961
2018-01-06,
2018-01-07,
2018-01-08,41.108665466308594
2018-01-09,41.10395431518555
2018-01-10,41.09453201293945
2018-01-11,41.32795715332031
2018-01-12,41.75471496582031
2018-01-13,
2018-01-14,
2018-01-15,
2018-01-16,41.54251480102539
2018-01-17,42.2286376953125
2018-01-18,42.26636505126953
2018-01-19,42.07774353027344
2018-01-20,
2018-01-21,
2018-01-22,41.733497619628906
2018-01-23,41.742919921875
2018-01-24,41.078025817871094
2018-01-25,40.34474563598633
2018-01-26,40.439048767089844
2018-01-27,
2018-01-28,
2018-01-29,39.602020263671875
2018-01-30,39.36859893798828
2018-01-31,39.47705841064453
2018-02-01,39.5595817565918
2018-02-02,37.84309005737305
2018-02-03,
2018-02-04,
2018-02-05,36.897605895996094
2018-02-06,38.43961715698242
2018-02-07,37.616737365722656
2018-02-08,36.58164978027344
2018-02-09,37.02909851074219
2018-02-10,
2018-02-11,
2018-02-12,38.520591735839844
2018-02-13,38.906471252441406
2018-02-14,39.62380599975586
2018-02-15,40.954315185546875
2018-02-16,40.82172393798828
2018-02-17,
2018-02-18,
2018-02-19,
2018-02-20,40.68441390991211
2018-02-21,40.499755859375
2018-02-22,40.83830261230469
2018-02-23,41.548545837402344
2018-02-24,
2018-02-25,
2018-02-26,42.37003707885742
2018-02-27,42.23273468017578
2018-02-28,42.1688117980957
2018-03-01,41.43015670776367
2018-03-02,41.71662139892578
2018-03-03,
2018-03-04,
2018-03-05,41.861045837402344
2018-03-06,41.825531005859375
2018-03-07,41.4372673034668
2018-03-08,41.88945007324219
2018-03-09,42.60913848876953
2018-03-10,
2018-03-11,
2018-03-12,43.02107238769531
2018-03-13,42.606781005859375
2018-03-14,42.24455261230469
2018-03-15,42.29426956176758
2018-03-16,42.1451301574707
2018-03-17,
2018-03-18,
2018-03-19,41.501190185546875
2018-03-20,41.48698806762695
2018-03-21,40.547119140625
2018-03-22,39.97419738769531
2018-03-23,39.048526763916016
2018-03-24,
2018-03-25,
2018-03-26,40.902225494384766
2018-03-27,39.85345458984375
2018-03-28,39.413108825683594
2018-03-29,39.72087097167969
2018-03-30,
2018-03-31,
2018-04-01,
2018-04-02,39.460453033447266
2018-04-03,39.86528778076172
2018-04-04,40.62760543823242
2018-04-05,40.909324645996094
2018-04-06,39.86292266845703
2018-04-07,
2018-04-08,
2018-04-09,40.25829315185547
2018-04-10,41.015869140625
2018-04-11,40.824100494384766
2018-04-12,41.22655487060547
2018-04-13,41.36623764038086
2018-04-14,
2018-04-15,
2018-04-16,41.62429428100586
2018-04-17,42.19721221923828
2018-04-18,42.102516174316406
2018-04-19,40.909324645996094
2018-04-20,39.233177185058594
2018-04-21,
2018-04-22,
2018-04-23,39.11955642700195
2018-04-24,38.57501983642578
2018-04-25,38.74311447143555
2018-04-26,38.87807083129883
2018-04-27,38.42824935913086
2018-04-28,
2018-04-29,
2018-04-30,39.1242790222168
2018-05-01,40.03337478637695
2018-05-02,41.801849365234375
2018-05-03,41.87761306762695
2018-05-04,43.52061462402344
2018-05-05,
2018-05-06,
2018-05-07,43.83547592163086
2018-05-08,44.04618453979492
2018-05-09,44.356319427490234
2018-05-10,44.99079132080078
2018-05-11,44.819679260253906
2018-05-12,
2018-05-13,
2018-05-14,44.71510696411133
2018-05-15,44.308712005615234
2018-05-16,44.722232818603516
2018-05-17,44.439430236816406
2018-05-18,44.2778205871582
2018-05-19,
2018-05-20,
2018-05-21,44.59151840209961
2018-05-22,44.47983169555664
2018-05-23,44.765018463134766
2018-05-24,44.71510696411133
