,price
2020-01-01,
2020-01-02,73.15266418457031
2020-01-03,72.44145202636719
2020-01-04,
2020-01-05,
2020-01-06,73.01869201660156
2020-01-07,72.67527770996094
2020-01-08,73.84434509277344
2020-01-09,75.41284942626953
2020-01-10,75.58334350585938
2020-01-11,
2020-01-12,
2020-01-13,77.1981430053711
2020-01-14,76.15571594238281
2020-01-15,75.829345703125
2020-01-16,76.77923583984375
2020-01-17,77.62923431396484
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,77.10315704345703
2020-01-22,77.37837982177734
2020-01-23,77.75103759765625
2020-01-24,77.52694702148438
2020-01-25,
2020-01-26,
2020-01-27,75.24725341796875
2020-01-28,77.37594604492188
2020-01-29,78.99560546875
2020-01-30,78.8811264038086
2020-01-31,75.3836441040039
2020-02-01,
2020-02-02,
2020-02-03,75.17660522460938
2020-02-04,77.65848541259766
2020-02-05,78.29170989990234
2020-02-06,79.20750427246094
2020-02-07,78.13085174560547
2020-02-08,
2020-02-09,
2020-02-10,78.50194549560547
2020-02-11,78.0283203125
2020-02-12,79.88133239746094
2020-02-13,79.31248474121094
2020-02-14,79.33200073242188
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,77.87940216064453
2020-02-19,79.0073013305664
2020-02-20,78.19676971435547
2020-02-21,76.42679595947266
2020-02-22,
2020-02-23,
2020-02-24,72.7964859008789
2020-02-25,70.33072662353516
2020-02-26,71.44641876220703
2020-02-27,66.7761001586914
2020-02-28,66.73702239990234
2020-02-29,
2020-03-01,
2020-03-02,72.9502944946289
2020-03-03,70.6334457397461
2020-03-04,73.90973663330078
2020-03-05,71.51233673095703
2020-03-06,70.5626449584961
2020-03-07,
2020-03-08,
2020-03-09,64.98169708251953
2020-03-10,69.6617660522461
2020-03-11,67.24237823486328
2020-03-12,60.60189437866211
2020-03-13,67.86248779296875
2020-03-14,
2020-03-15,
2020-03-16,59.1321907043457
2020-03-17,61.732242584228516
2020-03-18,60.22103500366211
2020-03-19,59.759620666503906
2020-03-20,55.96574401855469
2020-03-21,
2020-03-22,
2020-03-23,54.77680587768555
2020-03-24,60.272308349609375
2020-03-25,59.940284729003906
2020-03-26,63.09452438354492
2020-03-27,60.482261657714844
2020-03-28,
2020-03-29,
2020-03-30,62.208309173583984
2020-03-31,62.081356048583984
2020-04-01,58.8148193359375
2020-04-02,59.796241760253906
2020-04-03,58.9368896484375
2020-04-04,
2020-04-05,
2020-04-06,64.0783920288086
2020-04-07,63.33621597290039
2020-04-08,64.957275390625
2020-04-09,65.426025390625
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,66.71017456054688
2020-04-14,70.07923889160156
2020-04-15,69.43963623046875
2020-04-16,69.99137115478516
2020-04-17,69.04166412353516
2020-04-18,
2020-04-19,
2020-04-20,67.60858917236328
2020-04-21,65.518798828125
2020-04-22,67.40596008300781
2020-04-23,67.14472961425781
2020-04-24,69.08317565917969
2020-04-25,
2020-04-26,
2020-04-27,69.13201904296875
2020-04-28,68.01141357421875
2020-04-29,70.24526977539062
2020-04-30,71.72715759277344
2020-05-01,70.5724105834961
2020-05-02,
2020-05-03,
2020-05-04,71.57093048095703
2020-05-05,72.6451187133789
2020-05-06,73.39462280273438
2020-05-07,74.15386962890625
2020-05-08,75.91886138916016
2020-05-09,
2020-05-10,
2020-05-11,77.11347198486328
2020-05-12,76.23222351074219
2020-05-13,75.31175231933594
2020-05-14,75.77442932128906
2020-05-15,75.32646179199219
2020-05-16,
2020-05-17,
2020-05-18,77.10123443603516
2020-05-19,76.65571594238281
2020-05-20,78.14653015136719
2020-05-21,77.56391906738281
2020-05-22,78.06329345703125
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,77.53453826904297
2020-05-27,77.87236022949219
2020-05-28,77.90662384033203
2020-05-29,77.83072662353516
2020-05-30,
2020-05-31,
2020-06-01,78.78787994384766
2020-06-02,79.15261840820312
2020-06-03,79.58837890625
2020-06-04,78.90293884277344
2020-06-05,81.15017700195312
2020-06-06,
2020-06-07,
2020-06-08,81.62997436523438
2020-06-09,84.20767974853516
2020-06-10,86.37415313720703
2020-06-11,82.22728729248047
2020-06-12,82.93719482421875
2020-06-13,
2020-06-14,
2020-06-15,83.96289825439453
2020-06-16,86.18807983398438
2020-06-17,86.0681381225586
2020-06-18,86.1024169921875
2020-06-19,85.61038970947266
2020-06-20,
2020-06-21,
2020-06-22,87.85027313232422
2020-06-23,89.72540283203125
2020-06-24,88.1415786743164
2020-06-25,89.31170654296875
2020-06-26,86.56753540039062
2020-06-27,
2020-06-28,
2020-06-29,88.56262969970703
2020-06-30,89.30191040039062
2020-07-01,89.13300323486328
2020-07-02,89.13300323486328
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,91.517333984375
2020-07-07,91.23336029052734
2020-07-08,93.35818481445312
2020-07-09,93.75967407226562
2020-07-10,93.92367553710938
2020-07-11,
2020-07-12,
2020-07-13,93.49039459228516
2020-07-14,95.03752136230469
2020-07-15,95.69113159179688
2020-07-16,94.51365661621094
2020-07-17,94.32269287109375
2020-07-18,
2020-07-19,
2020-07-20,96.31046295166016
2020-07-21,94.98119354248047
2020-07-22,95.24803161621094
2020-07-23,90.91267395019531
2020-07-24,90.68746185302734
2020-07-25,
2020-07-26,
2020-07-27,92.83678436279297
2020-07-28,91.31169128417969
2020-07-29,93.06199645996094
2020-07-30,94.18806457519531
2020-07-31,104.04847717285156
2020-08-01,
2020-08-02,
2020-08-03,106.67024230957031
2020-08-04,107.38259887695312
2020-08-05,107.77183532714844
2020-08-06,111.53191375732422
2020-08-07,108.99615478515625
2020-08-08,
2020-08-09,
2020-08-10,110.58039855957031
2020-08-11,107.291748046875
2020-08-12,110.85752868652344
2020-08-13,112.81941986083984
2020-08-14,112.71886444091797
2020-08-15,
2020-08-16,
2020-08-17,112.4245834350586
2020-08-18,113.36139678955078
2020-08-19,113.50361633300781
2020-08-20,116.0222396850586
2020-08-21,122.00115203857422
2020-08-22,
2020-08-23,
2020-08-24,123.4603271484375
2020-08-25,122.44749450683594
2020-08-26,124.1126480102539
2020-08-27,122.62896728515625
2020-08-28,122.43031311035156
2020-08-29,
2020-08-30,
2020-08-31,126.58219909667969
2020-09-01,131.624267578125
2020-09-02,128.89724731445312
2020-09-03,118.57762908935547
2020-09-04,118.65608978271484
