,price
2020-01-01,
2020-01-02,154.77951049804688
2020-01-03,152.8522491455078
2020-01-04,
2020-01-05,
2020-01-06,153.24737548828125
2020-01-07,151.85006713867188
2020-01-08,154.26878356933594
2020-01-09,156.19606018066406
2020-01-10,155.47329711914062
2020-01-11,
2020-01-12,
2020-01-13,157.34278869628906
2020-01-14,156.23464965820312
2020-01-15,157.24642944335938
2020-01-16,160.1277313232422
2020-01-17,161.02391052246094
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,160.44570922851562
2020-01-22,159.67478942871094
2020-01-23,160.65773010253906
2020-01-24,159.03878784179688
2020-01-25,
2020-01-26,
2020-01-27,156.37918090820312
2020-01-28,159.44354248046875
2020-01-29,161.9297332763672
2020-01-30,166.49737548828125
2020-01-31,164.04010009765625
2020-02-01,
2020-02-02,
2020-02-03,168.03919982910156
2020-02-04,173.57044982910156
2020-02-05,173.35845947265625
2020-02-06,176.9528350830078
2020-02-07,177.20339965820312
2020-02-08,
2020-02-09,
2020-02-10,181.83848571777344
2020-02-11,177.7333984375
2020-02-12,177.99356079101562
2020-02-13,177.0299072265625
2020-02-14,178.6103057861328
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,180.42196655273438
2020-02-19,180.96304321289062
2020-02-20,178.1995391845703
2020-02-21,172.56614685058594
2020-02-22,
2020-02-23,
2020-02-24,165.12583923339844
2020-02-25,162.40098571777344
2020-02-26,164.43017578125
2020-02-27,152.84458923339844
2020-02-28,156.54539489746094
2020-02-29,
2020-03-01,
2020-03-02,166.96180725097656
2020-03-03,158.9610595703125
2020-03-04,164.79736328125
2020-03-05,160.66171264648438
2020-03-06,156.1202392578125
2020-03-07,
2020-03-08,
2020-03-09,145.53956604003906
2020-03-10,155.49215698242188
2020-03-11,148.4480438232422
2020-03-12,134.36949157714844
2020-03-13,153.47268676757812
2020-03-14,
2020-03-15,
2020-03-16,130.85226440429688
2020-03-17,141.62620544433594
2020-03-18,135.66429138183594
2020-03-19,137.89642333984375
2020-03-20,132.71719360351562
2020-03-21,
2020-03-22,
2020-03-23,131.39337158203125
2020-03-24,143.3365020751953
2020-03-25,141.9644012451172
2020-03-26,150.84439086914062
2020-03-27,144.6505889892578
2020-03-28,
2020-03-29,
2020-03-30,154.82542419433594
2020-03-31,152.39048767089844
2020-04-01,146.97930908203125
2020-04-02,150.02308654785156
2020-04-03,148.6412811279297
2020-04-04,
2020-04-05,
2020-04-06,159.69544982910156
2020-04-07,157.9754638671875
2020-04-08,159.56016540527344
2020-04-09,159.56982421875
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,159.92735290527344
2020-04-14,167.8411102294922
2020-04-15,166.08248901367188
2020-04-16,171.06842041015625
2020-04-17,172.5758514404297
2020-04-18,
2020-04-19,
2020-04-20,169.15524291992188
2020-04-21,162.15945434570312
2020-04-22,167.6671600341797
2020-04-23,165.63800048828125
2020-04-24,168.66241455078125
2020-04-25,
2020-04-26,
2020-04-27,168.17930603027344
2020-04-28,164.08229064941406
2020-04-29,171.44528198242188
2020-04-30,173.16525268554688
2020-05-01,168.68174743652344
2020-05-02,
2020-05-03,
2020-05-04,172.80772399902344
2020-05-05,174.66299438476562
2020-05-06,176.38291931152344
2020-05-07,177.40719604492188
2020-05-08,178.45074462890625
2020-05-09,
2020-05-10,
2020-05-11,180.44125366210938
2020-05-12,176.35394287109375
2020-05-13,173.68707275390625
2020-05-14,174.4407196044922
2020-05-15,176.9820098876953
2020-05-16,
2020-05-17,
2020-05-18,178.6729736328125
2020-05-19,177.4361572265625
2020-05-20,179.8973388671875
2020-05-21,177.73654174804688
2020-05-22,177.8140411376953
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,175.9342803955078
2020-05-27,176.16683959960938
2020-05-28,175.76953125
2020-05-29,177.5621337890625
2020-05-30,
2020-05-31,
2020-06-01,177.1551513671875
2020-06-02,179.1706085205078
2020-06-03,179.6066131591797
2020-06-04,177.2423858642578
2020-06-05,181.38951110839844
2020-06-06,
2020-06-07,
2020-06-08,182.51348876953125
2020-06-09,183.9088592529297
2020-06-10,190.7303009033203
2020-06-11,180.48841857910156
2020-06-12,181.9127655029297
2020-06-13,
2020-06-14,
2020-06-15,183.07554626464844
2020-06-16,187.56179809570312
2020-06-17,188.21102905273438
2020-06-18,190.22647094726562
2020-06-19,189.09274291992188
2020-06-20,
2020-06-21,
2020-06-22,194.34454345703125
2020-06-23,195.6429443359375
2020-06-24,191.69924926757812
2020-06-25,194.12167358398438
2020-06-26,190.2361297607422
2020-06-27,
2020-06-28,
2020-06-29,192.2806396484375
2020-06-30,197.19329833984375
2020-07-01,198.34634399414062
2020-07-02,199.85792541503906
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,204.16012573242188
2020-07-07,201.78616333007812
2020-07-08,206.22398376464844
2020-07-09,207.66775512695312
2020-07-10,207.0379180908203
2020-07-11,
2020-07-12,
2020-07-13,200.6427764892578
2020-07-14,201.88308715820312
2020-07-15,201.5826873779297
2020-07-16,197.590576171875
2020-07-17,196.5828399658203
2020-07-18,
2020-07-19,
2020-07-20,205.03216552734375
2020-07-21,202.27064514160156
2020-07-22,205.17755126953125
2020-07-23,196.2533721923828
2020-07-24,195.05189514160156
2020-07-25,
2020-07-26,
2020-07-27,197.52273559570312
2020-07-28,195.74954223632812
2020-07-29,197.72621154785156
2020-07-30,197.5711669921875
2020-07-31,198.646728515625
2020-08-01,
2020-08-02,
2020-08-03,209.81886291503906
2020-08-04,206.6697235107422
2020-08-05,206.33059692382812
2020-08-06,209.6347198486328
2020-08-07,205.8848876953125
2020-08-08,
2020-08-09,
2020-08-10,201.78616333007812
2020-08-11,197.06735229492188
2020-08-12,202.69700622558594
2020-08-13,202.22216796875
2020-08-14,202.41598510742188
2020-08-15,
2020-08-16,
2020-08-17,203.75315856933594
2020-08-18,204.9256134033203
2020-08-19,203.68235778808594
2020-08-20,208.4222869873047
2020-08-21,206.90704345703125
2020-08-22,
2020-08-23,
2020-08-24,207.55783081054688
2020-08-25,210.25804138183594
2020-08-26,214.8037567138672
2020-08-27,220.07794189453125
2020-08-28,222.341064453125
2020-08-29,
2020-08-30,
2020-08-31,219.05807495117188
2020-09-01,220.7481231689453
2020-09-02,225.00244140625
2020-09-03,211.06423950195312
2020-09-04,208.10174560546875
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,196.8443603515625
2020-09-09,205.2266845703125
2020-09-10,199.47657775878906
2020-09-11,198.175048828125
2020-09-12,
2020-09-13,
2020-09-14,199.51544189453125
2020-09-15,202.78871154785156
2020-09-16,199.165771484375
2020-09-17,197.0872039794922
2020-09-18,194.6394805908203
2020-09-19,
2020-09-20,
2020-09-21,196.727783203125
2020-09-22,201.4677734375
2020-09-23,194.833740234375
2020-09-24,197.35916137695312
2020-09-25,201.85626220703125
2020-09-26,
2020-09-27,
2020-09-28,203.4298095703125
2020-09-29,201.31234741210938
2020-09-30,204.2942657470703
2020-10-01,206.36314392089844
2020-10-02,200.27305603027344
2020-10-03,
2020-10-04,
2020-10-05,204.3428497314453
2020-10-06,200.00111389160156
2020-10-07,203.80859375
2020-10-08,204.53707885742188
2020-10-09,209.61700439453125
2020-10-10,
2020-10-11,
2020-10-12,215.04656982421875
2020-10-13,216.4646759033203
2020-10-14,214.52207946777344
2020-10-15,213.3565216064453
2020-10-16,213.3565216064453
2020-10-17,
2020-10-18,
2020-10-19,208.07261657714844
2020-10-20,208.49029541015625
2020-10-21,208.63597106933594
2020-10-22,208.72337341308594
2020-10-23,210.02496337890625
2020-10-24,
2020-10-25,
2020-10-26,204.0514373779297
2020-10-27,207.13046264648438
2020-10-28,196.86375427246094
2020-10-29,198.84521484375
2020-10-30,196.6598358154297
2020-10-31,
2020-11-01,
2020-11-02,196.5238037109375
2020-11-03,200.5061798095703
2020-11-04,210.1803436279297
2020-11-05,216.88232421875
2020-11-06,217.30003356933594
2020-11-07,
2020-11-08,
2020-11-09,212.12294006347656
2020-11-10,204.95474243164062
2020-11-11,210.3357696533203
2020-11-12,209.25762939453125
2020-11-13,210.29689025878906
2020-11-14,
2020-11-15,
2020-11-16,210.9962615966797
2020-11-17,208.3057861328125
2020-11-18,205.5594940185547
2020-11-19,206.8644561767578
2020-11-20,204.8875274658203
2020-11-21,
2020-11-22,
2020-11-23,204.61485290527344
2020-11-24,208.2667999267578
2020-11-25,208.27651977539062
2020-11-26,
2020-11-27,209.6009521484375
2020-11-28,
2020-11-29,
2020-11-30,208.4713134765625
2020-12-01,210.55531311035156
2020-12-02,209.73727416992188
2020-12-03,208.6368408203125
2020-12-04,208.7537078857422
2020-12-05,
2020-12-06,
2020-12-07,208.68553161621094
2020-12-08,210.3605499267578
2020-12-09,206.26068115234375
2020-12-10,205.01414489746094
2020-12-11,207.68247985839844
2020-12-12,
2020-12-13,
2020-12-14,208.59788513183594
2020-12-15,208.52972412109375
2020-12-16,213.5449981689453
2020-12-17,213.68136596679688
2020-12-18,212.8730926513672
2020-12-19,
2020-12-20,
