,price
2018-01-01,
2018-01-02,53.5279541015625
2018-01-03,54.44119644165039
2018-01-04,54.65266799926758
2018-01-05,55.377376556396484
2018-01-06,
2018-01-07,
2018-01-08,55.57289123535156
2018-01-09,55.50206756591797
2018-01-10,55.36989212036133
2018-01-11,55.46516036987305
2018-01-12,56.39286422729492
2018-01-13,
2018-01-14,
2018-01-15,
2018-01-16,56.395355224609375
2018-01-17,56.8143196105957
2018-01-18,56.658203125
2018-01-19,57.033775329589844
2018-01-20,
2018-01-21,
2018-01-22,58.06422424316406
2018-01-23,58.663238525390625
2018-01-24,58.41984176635742
2018-01-25,58.96099853515625
2018-01-26,59.23133087158203
2018-01-27,
2018-01-28,
2018-01-29,59.177467346191406
2018-01-30,58.72309112548828
2018-01-31,58.96499252319336
2018-02-01,58.933570861816406
2018-02-02,55.821773529052734
2018-02-03,
2018-02-04,
2018-02-05,52.9882926940918
2018-02-06,54.08757400512695
2018-02-07,52.64015579223633
2018-02-08,50.26104736328125
2018-02-09,52.18428421020508
2018-02-10,
2018-02-11,
2018-02-12,52.59775924682617
2018-02-13,52.576812744140625
2018-02-14,53.50251770019531
2018-02-15,54.43321228027344
2018-02-16,54.63970184326172
2018-02-17,
2018-02-18,
2018-02-19,
2018-02-20,55.04320526123047
2018-02-21,55.549949645996094
2018-02-22,55.35792541503906
2018-02-23,56.26517868041992
2018-02-24,
2018-02-25,
2018-02-26,57.04375076293945
2018-02-27,55.73748779296875
2018-02-28,55.059661865234375
2018-03-01,53.438175201416016
2018-03-02,54.0731086730957
2018-03-03,
2018-03-04,
2018-03-05,54.60279083251953
2018-03-06,54.909034729003906
2018-03-07,55.614288330078125
2018-03-08,56.32952117919922
2018-03-09,57.89863204956055
2018-03-10,
2018-03-11,
2018-03-12,58.15250778198242
2018-03-13,56.85471725463867
2018-03-14,57.302608489990234
2018-03-15,57.38839340209961
2018-03-16,56.580894470214844
2018-03-17,
2018-03-18,
2018-03-19,54.86764144897461
2018-03-20,54.654666900634766
2018-03-21,54.56489181518555
2018-03-22,52.527435302734375
2018-03-23,51.20071792602539
2018-03-24,
2018-03-25,
2018-03-26,52.57431411743164
2018-03-27,50.22264099121094
2018-03-28,50.134857177734375
2018-03-29,51.72890853881836
2018-03-30,
2018-03-31,
2018-04-01,
2018-04-02,50.50643539428711
2018-04-03,50.808189392089844
2018-04-04,51.35832977294922
2018-04-05,51.50446701049805
2018-04-06,50.372772216796875
2018-04-07,
2018-04-08,
2018-04-09,50.878517150878906
2018-04-10,51.696990966796875
2018-04-11,51.12640380859375
2018-04-12,51.73638916015625
2018-04-13,51.67404556274414
2018-04-14,
2018-04-15,
2018-04-16,52.17580795288086
2018-04-17,53.83469772338867
2018-04-18,53.63668441772461
2018-04-19,54.337947845458984
2018-04-20,53.732948303222656
2018-04-21,
2018-04-22,
2018-04-23,53.55788040161133
2018-04-24,51.00570297241211
2018-04-25,51.023162841796875
2018-04-26,52.03664779663086
2018-04-27,51.44511413574219
2018-04-28,
2018-04-29,
2018-04-30,50.80320358276367
2018-05-01,51.90896224975586
2018-05-02,51.17578125
2018-05-03,51.18824768066406
2018-05-04,52.42020034790039
2018-05-05,
2018-05-06,
2018-05-07,52.84215545654297
2018-05-08,52.798763275146484
2018-05-09,54.313011169433594
2018-05-10,55.13697052001953
2018-05-11,55.03273010253906
2018-05-12,
2018-05-13,
2018-05-14,55.19333267211914
2018-05-15,54.10951614379883
2018-05-16,54.07061004638672
2018-05-17,53.92946243286133
2018-05-18,53.34989547729492
2018-05-19,
2018-05-20,
2018-05-21,54.06662368774414
2018-05-22,53.63269805908203
2018-05-23,54.163883209228516
2018-05-24,54.13844299316406
2018-05-25,54.07011413574219
2018-05-26,
2018-05-27,
2018-05-28,
2018-05-29,53.27158737182617
2018-05-30,53.74042892456055
2018-05-31,54.8641471862793
2018-06-01,56.609825134277344
2018-06-02,
2018-06-03,
2018-06-04,57.50959777832031
2018-06-05,57.408843994140625
2018-06-06,57.205848693847656
2018-06-07,56.580894470214844
2018-06-08,56.495609283447266
2018-06-09,
2018-06-10,
2018-06-11,56.90409469604492
2018-06-12,57.267696380615234
2018-06-13,57.07018280029297
2018-06-14,57.86222457885742
2018-06-15,57.82032775878906
2018-06-16,
2018-06-17,
2018-06-18,59.0328254699707
2018-06-19,58.7889289855957
2018-06-20,59.0572624206543
2018-06-21,58.327571868896484
2018-06-22,58.320091247558594
2018-06-23,
2018-06-24,
2018-06-25,56.82329559326172
2018-06-26,56.49111557006836
2018-06-27,55.70905685424805
2018-06-28,56.1998405456543
2018-06-29,56.32004165649414
2018-06-30,
2018-07-01,
2018-07-02,56.964447021484375
2018-07-03,55.6761360168457
2018-07-04,
2018-07-05,56.923545837402344
2018-07-06,57.61134719848633
2018-07-07,
2018-07-08,
2018-07-09,58.2198371887207
2018-07-10,58.21285629272461
2018-07-11,58.42832565307617
2018-07-12,59.914642333984375
2018-07-13,60.0722541809082
2018-07-14,
2018-07-15,
2018-07-16,59.677730560302734
2018-07-17,60.50418472290039
2018-07-18,60.49570083618164
2018-07-19,59.80691146850586
2018-07-20,59.74605941772461
2018-07-21,
2018-07-22,
2018-07-23,60.40044021606445
2018-07-24,62.75211715698242
2018-07-25,63.63941955566406
