,price
2018-01-01,
2018-01-02,79.9367446899414
2018-01-03,80.30875396728516
2018-01-04,81.01558685302734
2018-01-05,82.02001953125
2018-01-06,
2018-01-07,
2018-01-08,82.1037368774414
2018-01-09,82.04793548583984
2018-01-10,81.67591094970703
2018-01-11,81.91773223876953
2018-01-12,83.33136749267578
2018-01-13,
2018-01-14,
2018-01-15,
2018-01-16,82.16881561279297
2018-01-17,83.83358001708984
2018-01-18,83.79637908935547
2018-01-19,83.70338439941406
2018-01-20,
2018-01-21,
2018-01-22,85.20073699951172
2018-01-23,85.47046661376953
2018-01-24,85.39606475830078
2018-01-25,85.87036895751953
2018-01-26,87.47933959960938
2018-01-27,
2018-01-28,
2018-01-29,87.34912872314453
2018-01-30,86.25170135498047
2018-01-31,88.36286926269531
2018-02-01,87.66535186767578
2018-02-02,85.35887908935547
2018-02-03,
2018-02-04,
2018-02-05,81.84329986572266
2018-02-06,84.94033813476562
2018-02-07,83.34066772460938
2018-02-08,79.0625
2018-02-09,82.01072692871094
2018-02-10,
2018-02-11,
2018-02-12,82.89425659179688
2018-02-13,83.54528045654297
2018-02-14,84.85346221923828
2018-02-15,86.58208465576172
2018-02-16,85.96541595458984
2018-02-17,
2018-02-18,
2018-02-19,
2018-02-20,86.63818359375
2018-02-21,85.4888687133789
2018-02-22,85.71311950683594
2018-02-23,87.8902816772461
2018-02-24,
2018-02-25,
2018-02-26,89.16105651855469
2018-02-27,88.02110290527344
2018-02-28,87.61929321289062
2018-03-01,86.7596435546875
2018-03-02,86.9465103149414
2018-03-03,
2018-03-04,
2018-03-05,87.49781799316406
2018-03-06,87.19878387451172
2018-03-07,87.70338439941406
2018-03-08,88.23600006103516
2018-03-09,90.20760345458984
2018-03-10,
2018-03-11,
2018-03-12,90.42250061035156
2018-03-13,88.21732330322266
2018-03-14,87.69404602050781
2018-03-15,88.00239562988281
2018-03-16,88.39485931396484
2018-03-17,
2018-03-18,
2018-03-19,86.79702758789062
2018-03-20,87.02127838134766
2018-03-21,86.41390991210938
2018-03-22,83.90034484863281
2018-03-23,81.46155548095703
2018-03-24,
2018-03-25,
2018-03-26,87.6286392211914
2018-03-27,83.6013412475586
2018-03-28,83.52659606933594
2018-03-29,85.28327941894531
2018-03-30,
2018-03-31,
2018-04-01,
2018-04-02,82.7136459350586
2018-04-03,83.82559967041016
2018-04-04,86.27376556396484
2018-04-05,86.32044982910156
2018-04-06,84.3115005493164
2018-04-07,
2018-04-08,
2018-04-09,84.81607818603516
2018-04-10,86.78764343261719
2018-04-11,85.8345718383789
2018-04-12,87.4417495727539
2018-04-13,86.97455596923828
2018-04-14,
2018-04-15,
2018-04-16,87.9930648803711
2018-04-17,89.7684326171875
2018-04-18,90.11416625976562
2018-04-19,89.80579376220703
2018-04-20,88.76862335205078
2018-04-21,
2018-04-22,
2018-04-23,89.09564971923828
2018-04-24,87.0119400024414
2018-04-25,86.25504302978516
2018-04-26,88.07716369628906
2018-04-27,89.53482055664062
2018-04-28,
2018-04-29,
2018-04-30,87.38568878173828
2018-05-01,88.76862335205078
2018-05-02,87.3763427734375
2018-05-03,87.89962005615234
2018-05-04,88.91812133789062
2018-05-05,
2018-05-06,
2018-05-07,89.90858459472656
2018-05-08,89.52548217773438
2018-05-09,90.58135223388672
2018-05-10,91.48776245117188
2018-05-11,91.29151916503906
2018-05-12,
2018-05-13,
2018-05-14,91.59986114501953
2018-05-15,90.93643951416016
2018-05-16,91.17106628417969
2018-05-17,90.2607650756836
2018-05-18,90.4296646118164
2018-05-19,
2018-05-20,
2018-05-21,91.59336853027344
2018-05-22,91.49952697753906
2018-05-23,92.58811950683594
2018-05-24,92.2596664428711
2018-05-25,92.30657958984375
2018-05-26,
2018-05-27,
2018-05-28,
2018-05-29,91.97811889648438
2018-05-30,92.86026000976562
2018-05-31,92.75702667236328
2018-06-01,94.58702850341797
2018-06-02,
2018-06-03,
2018-06-04,95.41287994384766
2018-06-05,95.90087890625
2018-06-06,96.1823959350586
2018-06-07,94.6714859008789
2018-06-08,95.37533569335938
2018-06-09,
2018-06-10,
2018-06-11,94.83102416992188
2018-06-12,95.07502746582031
2018-06-13,94.64335632324219
2018-06-14,95.17826080322266
2018-06-15,93.96763610839844
2018-06-16,
2018-06-17,
2018-06-18,94.6527328491211
2018-06-19,94.6527328491211
2018-06-20,95.60057830810547
2018-06-21,94.91549682617188
2018-06-22,94.2304458618164
2018-06-23,
2018-06-24,
2018-06-25,92.33474731445312
2018-06-26,92.9822769165039
2018-06-27,91.53705596923828
2018-06-28,92.55996704101562
2018-06-29,92.54120635986328
2018-06-30,
2018-07-01,
2018-07-02,93.85504150390625
2018-07-03,92.95411682128906
2018-07-04,
2018-07-05,93.62042236328125
2018-07-06,94.93424987792969
2018-07-07,
2018-07-08,
2018-07-09,95.58180236816406
2018-07-10,95.8351821899414
2018-07-11,95.70378875732422
2018-07-12,97.77778625488281
2018-07-13,98.94146728515625
2018-07-14,
2018-07-15,
2018-07-16,98.4534912109375
2018-07-17,99.42947387695312
2018-07-18,98.65054321289062
2018-07-19,97.97484588623047
2018-07-20,99.72976684570312
2018-07-21,
2018-07-22,
2018-07-23,101.32513427734375
2018-07-24,101.03421783447266
2018-07-25,104.00914764404297
2018-07-26,102.87360382080078
2018-07-27,101.05300903320312
2018-07-28,
2018-07-29,
2018-07-30,98.88516235351562
2018-07-31,99.55147552490234
2018-08-01,99.73915100097656
2018-08-02,100.94976043701172
2018-08-03,101.3908462524414
2018-08-04,
2018-08-05,
2018-08-06,101.47530364990234
2018-08-07,102.17913818359375
2018-08-08,102.7516098022461
2018-08-09,102.92052459716797
2018-08-10,102.291748046875
2018-08-11,
2018-08-12,
2018-08-13,101.55038452148438
2018-08-14,102.8172836303711
2018-08-15,101.42301940917969
2018-08-16,101.4041976928711
2018-08-17,101.34766387939453
2018-08-18,
2018-08-19,
2018-08-20,100.6788101196289
2018-08-21,99.84037017822266
2018-08-22,100.85779571533203
2018-08-23,101.32884216308594
2018-08-24,102.12016296386719
2018-08-25,
2018-08-26,
2018-08-27,103.25066375732422
2018-08-28,103.87242126464844
2018-08-29,105.53045654296875
2018-08-30,105.4645004272461
2018-08-31,105.82250213623047
2018-09-01,
2018-09-02,
2018-09-03,
2018-09-04,105.2384262084961
2018-09-05,102.20494842529297
2018-09-06,102.44049072265625
2018-09-07,101.94116973876953
2018-09-08,
2018-09-09,
2018-09-10,103.04339599609375
2018-09-11,104.7956314086914
2018-09-12,105.2384262084961
2018-09-13,106.3689193725586
2018-09-14,106.80225372314453
2018-09-15,
2018-09-16,
2018-09-17,105.64351654052734
2018-09-18,106.6515121459961
2018-09-19,105.2289810180664
2018-09-20,106.99066162109375
2018-09-21,107.64070129394531
2018-09-22,
2018-09-23,
2018-09-24,108.02694702148438
2018-09-25,107.81967163085938
2018-09-26,107.37689971923828
2018-09-27,107.78199005126953
2018-09-28,107.74431610107422
2018-09-29,
2018-09-30,
2018-10-01,108.91248321533203
2018-10-02,108.4791259765625
2018-10-03,108.49797058105469
2018-10-04,106.255859375
2018-10-05,105.63407135009766
2018-10-06,
2018-10-07,
2018-10-08,104.42823028564453
2018-10-09,105.75654602050781
2018-10-10,100.00994110107422
2018-10-11,99.77442169189453
2018-10-12,103.2223892211914
2018-10-13,
2018-10-14,
2018-10-15,101.36650848388672
2018-10-16,104.56954193115234
2018-10-17,104.29635620117188
2018-10-18,102.21439361572266
2018-10-19,102.3651123046875
2018-10-20,
2018-10-21,
2018-10-22,103.27888488769531
2018-10-23,101.8375473022461
2018-10-24,96.39240264892578
2018-10-25,102.02595520019531
2018-10-26,100.76358032226562
2018-10-27,
2018-10-28,
2018-10-29,97.8337631225586
2018-10-30,97.720703125
2018-10-31,100.62228393554688
2018-11-01,99.7838363647461
2018-11-02,100.00994110107422
2018-11-03,
2018-11-04,
2018-11-05,101.28173065185547
2018-11-06,101.47956848144531
2018-11-07,105.47395324707031
2018-11-08,105.27609252929688
2018-11-09,103.2223892211914
2018-11-10,
2018-11-11,
2018-11-12,100.6788101196289
2018-11-13,100.74476623535156
2018-11-14,99.31607818603516
2018-11-15,101.50167083740234
2018-11-16,102.457275390625
2018-11-17,
2018-11-18,
2018-11-19,98.9849624633789
2018-11-20,96.2316665649414
2018-11-21,97.55626678466797
2018-11-22,
2018-11-23,97.51842498779297
2018-11-24,
2018-11-25,
2018-11-26,100.73529815673828
2018-11-27,101.36920928955078
2018-11-28,105.13483428955078
2018-11-29,104.2549057006836
2018-11-30,104.91722869873047
2018-12-01,
2018-12-02,
2018-12-03,106.05259704589844
2018-12-04,102.67485809326172
2018-12-05,
2018-12-06,103.30878448486328
2018-12-07,99.17415618896484
2018-12-08,
2018-12-09,
2018-12-10,101.79496002197266
2018-12-11,102.7410888671875
2018-12-12,103.20471954345703
2018-12-13,103.5547866821289
2018-12-14,100.31898498535156
2018-12-15,
2018-12-16,
2018-12-17,97.34810638427734
2018-12-18,98.36995697021484
2018-12-19,98.10503387451172
2018-12-20,96.0424575805664
2018-12-21,92.93913269042969
2018-12-22,
2018-12-23,
2018-12-24,89.05994415283203
2018-12-25,
2018-12-26,95.14360046386719
2018-12-27,95.73021697998047
2018-12-28,94.98275756835938
2018-12-29,
2018-12-30,
2018-12-31,96.0992202758789
2019-01-01,
2019-01-02,95.6734619140625
2019-01-03,92.15381622314453
2019-01-04,96.43982696533203
2019-01-05,
2019-01-06,
2019-01-07,96.56282043457031
2019-01-08,97.26295471191406
2019-01-09,98.6537857055664
2019-01-10,98.01988220214844
2019-01-11,97.26295471191406
2019-01-12,
2019-01-13,
2019-01-14,96.5533676147461
2019-01-15,99.35392761230469
2019-01-16,99.7040023803711
2019-01-17,100.40416717529297
2019-01-18,101.90851593017578
2019-01-19,
2019-01-20,
2019-01-21,
2019-01-22,99.98784637451172
2019-01-23,100.96233367919922
2019-01-24,100.47982025146484
2019-01-25,101.39759063720703
2019-01-26,
2019-01-27,
2019-01-28,99.42015838623047
2019-01-29,97.39541625976562
2019-01-30,100.650146484375
2019-01-31,98.80516815185547
2019-02-01,97.24404907226562
2019-02-02,
2019-02-03,
2019-02-04,100.04460144042969
2019-02-05,101.44489288330078
2019-02-06,100.31898498535156
2019-02-07,99.59992980957031
2019-02-08,99.97838592529297
2019-02-09,
2019-02-10,
2019-02-11,99.58100891113281
2019-02-12,101.13267517089844
2019-02-13,101.0569839477539
2019-02-14,101.1421127319336
2019-02-15,102.39105224609375
2019-02-16,
2019-02-17,
2019-02-18,
2019-02-19,102.34371948242188
2019-02-20,101.81163787841797
2019-02-21,103.95903015136719
2019-02-22,105.44129180908203
2019-02-23,
2019-02-24,
2019-02-25,106.03041076660156
2019-02-26,106.76205444335938
2019-02-27,106.58151245117188
2019-02-28,106.448486328125
2019-03-01,106.92359161376953
2019-03-02,
2019-03-03,
2019-03-04,106.66702270507812
2019-03-05,106.13493347167969
2019-03-06,106.18244171142578
2019-03-07,104.89021301269531
2019-03-08,105.00423431396484
2019-03-09,
2019-03-10,
2019-03-11,107.2086410522461
2019-03-12,107.95928955078125
2019-03-13,108.79544067382812
2019-03-14,108.88095092773438
2019-03-15,110.13517761230469
2019-03-16,
2019-03-17,
2019-03-18,111.71249389648438
2019-03-19,111.78849792480469
2019-03-20,111.66495513916016
2019-03-21,114.2304458618164
2019-03-22,111.2184066772461
2019-03-23,
2019-03-24,
2019-03-25,111.7979965209961
2019-03-26,112.03555297851562
2019-03-27,110.95235443115234
2019-03-28,111.10438537597656
2019-03-29,112.06405639648438
2019-03-30,
2019-03-31,
2019-04-01,113.0902328491211
2019-04-02,113.25178527832031
2019-04-03,113.992919921875
2019-04-04,113.41332244873047
2019-04-05,113.91690826416016
2019-04-06,
2019-04-07,
2019-04-08,113.95488739013672
2019-04-09,113.33728790283203
2019-04-10,114.20195007324219
2019-04-11,114.33497619628906
2019-04-12,114.9240951538086
2019-04-13,
2019-04-14,
2019-04-15,115.01910400390625
2019-04-16,114.75304412841797
2019-04-17,115.7032241821289
2019-04-18,117.22350311279297
2019-04-19,
2019-04-20,
2019-04-21,
2019-04-22,117.59407806396484
2019-04-23,119.19039154052734
2019-04-24,118.78182220458984
2019-04-25,122.71553802490234
2019-04-26,123.41868591308594
2019-04-27,
2019-04-28,
2019-04-29,123.30465698242188
2019-04-30,124.09332275390625
2019-05-01,121.50883483886719
2019-05-02,119.9220199584961
2019-05-03,122.4780044555664
2019-05-04,
2019-05-05,
2019-05-06,121.76536560058594
2019-05-07,119.26641845703125
2019-05-08,119.25689697265625
2019-05-09,119.24739837646484
2019-05-10,120.79619598388672
2019-05-11,
2019-05-12,
2019-05-13,117.20451354980469
2019-05-14,118.51576232910156
2019-05-15,120.18473815917969
2019-05-16,122.95997619628906
2019-05-17,122.13982391357422
2019-05-18,
2019-05-19,
2019-05-20,120.37547302246094
2019-05-21,121.02398681640625
2019-05-22,121.75833129882812
2019-05-23,120.33732604980469
2019-05-24,120.39453125
2019-05-25,
2019-05-26,
2019-05-27,
2019-05-28,120.31825256347656
2019-05-29,119.15472412109375
2019-05-30,119.9081802368164
2019-05-31,117.95307922363281
2019-06-01,
2019-06-02,
2019-06-03,114.29088592529297
2019-06-04,117.45716094970703
2019-06-05,120.0035400390625
2019-06-06,121.90138244628906
2019-06-07,125.31562042236328
2019-06-08,
2019-06-09,
2019-06-10,126.46003723144531
2019-06-11,125.98320007324219
2019-06-12,125.40144348144531
2019-06-13,126.19305419921875
2019-06-14,126.31700897216797
2019-06-15,
2019-06-16,
2019-06-17,126.69850158691406
2019-06-18,128.9014892578125
2019-06-19,129.40696716308594
2019-06-20,130.60865783691406
2019-06-21,130.62771606445312
2019-06-22,
2019-06-23,
2019-06-24,131.40016174316406
2019-06-25,127.25164031982422
2019-06-26,127.72847747802734
2019-06-27,127.93824768066406
2019-06-28,127.75708770751953
2019-06-29,
2019-06-30,
2019-07-01,129.39743041992188
2019-07-02,130.25575256347656
2019-07-03,131.09500122070312
2019-07-04,
2019-07-05,130.71351623535156
2019-07-06,
2019-07-07,
2019-07-08,130.61819458007812
2019-07-09,130.14129638671875
2019-07-10,131.46694946289062
2019-07-11,131.99147033691406
2019-07-12,132.4683380126953
2019-07-13,
2019-07-14,
2019-07-15,132.4683380126953
2019-07-16,130.73260498046875
2019-07-17,129.96011352539062
2019-07-18,130.10316467285156
2019-07-19,130.2938690185547
2019-07-20,
2019-07-21,
2019-07-22,132.0200653076172
2019-07-23,132.84027099609375
2019-07-24,134.2040557861328
2019-07-25,133.6986083984375
2019-07-26,134.7953643798828
2019-07-27,
2019-07-28,
2019-07-29,134.49972534179688
2019-07-30,133.85116577148438
2019-07-31,129.96011352539062
2019-08-01,131.6671905517578
2019-08-02,130.56094360351562
2019-08-03,
2019-08-04,
2019-08-05,126.08811950683594
2019-08-06,128.4532928466797
2019-08-07,129.01593017578125
2019-08-08,132.4587860107422
2019-08-09,131.33343505859375
2019-08-10,
2019-08-11,
2019-08-12,129.50233459472656
2019-08-13,132.18222045898438
2019-08-14,128.20162963867188
2019-08-15,127.91455841064453
2019-08-16,130.25894165039062
2019-08-17,
2019-08-18,
2019-08-19,132.44056701660156
2019-08-20,131.3401641845703
2019-08-21,132.8041534423828
2019-08-22,131.83773803710938
2019-08-23,127.6370620727539
2019-08-24,
2019-08-25,
2019-08-26,129.60824584960938
2019-08-27,129.88572692871094
2019-08-28,129.7135009765625
2019-08-29,132.16307067871094
2019-08-30,131.91433715820312
2019-08-31,
2019-09-01,
2019-09-02,
2019-09-03,130.17276000976562
2019-09-04,131.69422912597656
2019-09-05,134.0098419189453
2019-09-06,133.10084533691406
2019-09-07,
2019-09-08,
2019-09-09,131.5889434814453
2019-09-10,130.21107482910156
2019-09-11,130.24932861328125
2019-09-12,131.5889434814453
2019-09-13,131.39761352539062
2019-09-14,
2019-09-15,
2019-09-16,130.4503173828125
2019-09-17,131.464599609375
2019-09-18,132.54583740234375
2019-09-19,134.98583984375
2019-09-20,133.42616271972656
2019-09-21,
2019-09-22,
2019-09-23,133.13909912109375
2019-09-24,131.45498657226562
2019-09-25,133.34959411621094
2019-09-26,133.52183532714844
2019-09-27,131.78990173339844
2019-09-28,
2019-09-29,
2019-09-30,133.0338592529297
2019-10-01,131.15838623046875
2019-10-02,128.8427734375
2019-10-03,130.4024200439453
2019-10-04,132.16307067871094
2019-10-05,
2019-10-06,
2019-10-07,131.20620727539062
2019-10-08,129.8187713623047
2019-10-09,132.27792358398438
2019-10-10,133.10084533691406
2019-10-11,133.65579223632812
2019-10-12,
2019-10-13,
2019-10-14,133.531494140625
2019-10-15,135.46434020996094
2019-10-16,134.3543243408203
2019-10-17,133.66539001464844
2019-10-18,131.48370361328125
2019-10-19,
2019-10-20,
2019-10-21,132.4596710205078
2019-10-22,130.488525390625
2019-10-23,131.321044921875
2019-10-24,133.9045867919922
2019-10-25,134.66050720214844
2019-10-26,
2019-10-27,
2019-10-28,137.97129821777344
2019-10-29,136.66995239257812
2019-10-30,138.37315368652344
2019-10-31,137.18666076660156
2019-11-01,137.5215606689453
2019-11-02,
2019-11-03,
2019-11-04,138.3157501220703
2019-11-05,138.22964477539062
2019-11-06,137.84689331054688
2019-11-07,138.0382843017578
2019-11-08,139.6649932861328
2019-11-09,
2019-11-10,
2019-11-11,139.80850219726562
2019-11-12,140.7270965576172
2019-11-13,140.95672607421875
2019-11-14,141.6744384765625
2019-11-15,143.50201416015625
2019-11-16,
2019-11-17,
2019-11-18,143.8560333251953
2019-11-19,143.90391540527344
2019-11-20,143.65426635742188
2019-11-21,143.5198516845703
2019-11-22,143.62547302246094
2019-11-23,
2019-11-24,
2019-11-25,145.2000732421875
2019-11-26,145.96815490722656
2019-11-27,146.24658203125
2019-11-28,
2019-11-29,145.34414672851562
2019-11-30,
2019-12-01,
2019-12-02,143.58705139160156
2019-12-03,143.3566131591797
2019-12-04,143.87510681152344
2019-12-05,143.95193481445312
2019-12-06,145.69935607910156
2019-12-07,
2019-12-08,
2019-12-09,145.32489013671875
2019-12-10,145.1040496826172
2019-12-11,145.65127563476562
2019-12-12,147.12994384765625
2019-12-13,148.3684844970703
2019-12-14,
2019-12-15,
2019-12-16,149.32862854003906
2019-12-17,148.52210998535156
2019-12-18,148.21490478515625
2019-12-19,149.50143432617188
2019-12-20,151.13368225097656
2019-12-21,
2019-12-22,
2019-12-23,151.13368225097656
2019-12-24,151.10488891601562
2019-12-25,
2019-12-26,152.3433837890625
2019-12-27,152.62184143066406
2019-12-28,
2019-12-29,
2019-12-30,151.30653381347656
2019-12-31,151.41209411621094
2020-01-01,
2020-01-02,154.21571350097656
2020-01-03,152.29541015625
2020-01-04,
2020-01-05,
2020-01-06,152.68905639648438
2020-01-07,151.296875
2020-01-08,153.70677185058594
2020-01-09,155.62704467773438
2020-01-10,154.90696716308594
2020-01-11,
2020-01-12,
2020-01-13,156.7695770263672
2020-01-14,155.6654815673828
2020-01-15,156.673583984375
2020-01-16,159.5443878173828
2020-01-17,160.43731689453125
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,159.86122131347656
2020-01-22,159.09310913085938
2020-01-23,160.0724639892578
2020-01-24,158.45944213867188
2020-01-25,
2020-01-26,
2020-01-27,155.8094940185547
2020-01-28,158.86270141601562
2020-01-29,161.33982849121094
2020-01-30,165.89077758789062
2020-01-31,163.44248962402344
2020-02-01,
2020-02-02,
2020-02-03,167.427001953125
2020-02-04,172.93812561035156
2020-02-05,172.72691345214844
2020-02-06,176.30821228027344
2020-02-07,176.55783081054688
2020-02-08,
2020-02-09,
2020-02-10,181.17605590820312
2020-02-11,177.08592224121094
2020-02-12,177.3451385498047
2020-02-13,176.38499450683594
2020-02-14,177.95965576171875
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,179.7646484375
2020-02-19,180.30381774902344
2020-02-20,177.55032348632812
2020-02-21,171.9375
2020-02-22,
2020-02-23,
2020-02-24,164.52435302734375
2020-02-25,161.8093719482422
2020-02-26,163.83114624023438
2020-02-27,152.2877655029297
2020-02-28,155.97508239746094
2020-02-29,
2020-03-01,
2020-03-02,166.35354614257812
2020-03-03,158.38198852539062
2020-03-04,164.19699096679688
2020-03-05,160.07644653320312
2020-03-06,155.55148315429688
2020-03-07,
2020-03-08,
2020-03-09,145.0093994140625
2020-03-10,154.9257049560547
2020-03-11,147.9073028564453
2020-03-12,133.87997436523438
2020-03-13,152.91360473632812
2020-03-14,
2020-03-15,
2020-03-16,130.37557983398438
2020-03-17,141.11024475097656
2020-03-18,135.1700897216797
2020-03-19,137.39402770996094
2020-03-20,132.2337188720703
2020-03-21,
2020-03-22,
2020-03-23,130.91470336914062
2020-03-24,142.81430053710938
2020-03-25,141.4471893310547
2020-03-26,150.29490661621094
2020-03-27,144.12368774414062
2020-03-28,
2020-03-29,
