,price
2020-01-01,
2020-01-02,73.15264129638672
2020-01-03,72.44146728515625
2020-01-04,
2020-01-05,
2020-01-06,73.0186996459961
2020-01-07,72.67528533935547
2020-01-08,73.8443603515625
2020-01-09,75.41285705566406
2020-01-10,75.58336639404297
2020-01-11,
2020-01-12,
2020-01-13,77.19815063476562
2020-01-14,76.15570831298828
2020-01-15,75.829345703125
2020-01-16,76.77922058105469
2020-01-17,77.6292495727539
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,77.10316467285156
2020-01-22,77.37838745117188
2020-01-23,77.75101470947266
2020-01-24,77.5269546508789
2020-01-25,
2020-01-26,
2020-01-27,75.24724578857422
2020-01-28,77.37593841552734
2020-01-29,78.99560546875
2020-01-30,78.88114166259766
2020-01-31,75.3836441040039
2020-02-01,
2020-02-02,
2020-02-03,75.1766128540039
2020-02-04,77.65846252441406
2020-02-05,78.29173278808594
2020-02-06,79.2074966430664
2020-02-07,78.13087463378906
2020-02-08,
2020-02-09,
2020-02-10,78.50194549560547
2020-02-11,78.02832794189453
2020-02-12,79.8813247680664
2020-02-13,79.31248474121094
2020-02-14,79.33202362060547
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,77.87940216064453
2020-02-19,79.00731658935547
2020-02-20,78.19677734375
2020-02-21,76.4267807006836
2020-02-22,
2020-02-23,
2020-02-24,72.79647827148438
2020-02-25,70.33069610595703
2020-02-26,71.44641876220703
2020-02-27,66.77608489990234
2020-02-28,66.73703002929688
2020-02-29,
2020-03-01,
2020-03-02,72.95027923583984
2020-03-03,70.63343048095703
2020-03-04,73.90975189208984
2020-03-05,71.5123291015625
2020-03-06,70.56263732910156
2020-03-07,
2020-03-08,
2020-03-09,64.9817123413086
2020-03-10,69.66178131103516
2020-03-11,67.24238586425781
2020-03-12,60.60188674926758
2020-03-13,67.86248016357422
2020-03-14,
2020-03-15,
2020-03-16,59.1321907043457
2020-03-17,61.732242584228516
2020-03-18,60.22103500366211
2020-03-19,59.75961685180664
2020-03-20,55.965755462646484
2020-03-21,
2020-03-22,
2020-03-23,54.77680969238281
2020-03-24,60.272315979003906
2020-03-25,59.94028091430664
2020-03-26,63.09451675415039
2020-03-27,60.482261657714844
2020-03-28,
2020-03-29,
2020-03-30,62.208309173583984
2020-03-31,62.08135223388672
2020-04-01,58.8148193359375
2020-04-02,59.79624938964844
2020-04-03,58.9368896484375
2020-04-04,
2020-04-05,
2020-04-06,64.07838439941406
2020-04-07,63.336219787597656
2020-04-08,64.95728302001953
2020-04-09,65.42601776123047
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,66.71017456054688
2020-04-14,70.07923889160156
2020-04-15,69.43961334228516
2020-04-16,69.99134063720703
2020-04-17,69.04167175292969
2020-04-18,
2020-04-19,
2020-04-20,67.60858917236328
2020-04-21,65.51878356933594
2020-04-22,67.40595245361328
2020-04-23,67.14474487304688
2020-04-24,69.08317565917969
2020-04-25,
2020-04-26,
2020-04-27,69.13201904296875
2020-04-28,68.01142883300781
2020-04-29,70.24527740478516
2020-04-30,71.72715759277344
2020-05-01,70.57240295410156
2020-05-02,
2020-05-03,
2020-05-04,71.57093811035156
2020-05-05,72.6451187133789
2020-05-06,73.3946304321289
2020-05-07,74.15386199951172
2020-05-08,75.91886901855469
2020-05-09,
2020-05-10,
2020-05-11,77.11347961425781
2020-05-12,76.23220825195312
2020-05-13,75.31178283691406
2020-05-14,75.77444458007812
2020-05-15,75.32645416259766
2020-05-16,
2020-05-17,
2020-05-18,77.10123443603516
2020-05-19,76.65571594238281
2020-05-20,78.14653015136719
2020-05-21,77.56390380859375
2020-05-22,78.06328582763672
2020-05-23,
