,price
2020-01-01,
2020-01-02,154.77951049804688
2020-01-03,152.85226440429688
2020-01-04,
2020-01-05,
2020-01-06,153.24734497070312
2020-01-07,151.85008239746094
2020-01-08,154.26878356933594
2020-01-09,156.1960906982422
2020-01-10,155.47340393066406
2020-01-11,
2020-01-12,
2020-01-13,157.3427734375
2020-01-14,156.234619140625
2020-01-15,157.2464599609375
2020-01-16,160.127685546875
2020-01-17,161.02392578125
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,160.4457550048828
2020-01-22,159.67483520507812
2020-01-23,160.65773010253906
2020-01-24,159.03880310058594
2020-01-25,
2020-01-26,
2020-01-27,156.3791961669922
2020-01-28,159.4435272216797
2020-01-29,161.9297332763672
2020-01-30,166.4973602294922
2020-01-31,164.04013061523438
2020-02-01,
2020-02-02,
2020-02-03,168.0391845703125
2020-02-04,173.57046508789062
2020-02-05,173.3584747314453
2020-02-06,176.9528350830078
2020-02-07,177.20338439941406
2020-02-08,
2020-02-09,
2020-02-10,181.83847045898438
2020-02-11,177.7333526611328
2020-02-12,177.99354553222656
2020-02-13,177.02992248535156
2020-02-14,178.6103057861328
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,180.42193603515625
2020-02-19,180.96304321289062
2020-02-20,178.1995086669922
2020-02-21,172.566162109375
2020-02-22,
2020-02-23,
2020-02-24,165.12588500976562
2020-02-25,162.40098571777344
2020-02-26,164.43016052246094
2020-02-27,152.8446044921875
2020-02-28,156.54539489746094
2020-02-29,
2020-03-01,
2020-03-02,166.96180725097656
2020-03-03,158.96109008789062
2020-03-04,164.79736328125
2020-03-05,160.66172790527344
2020-03-06,156.12025451660156
2020-03-07,
2020-03-08,
2020-03-09,145.53958129882812
2020-03-10,155.4921875
2020-03-11,148.44810485839844
2020-03-12,134.36947631835938
2020-03-13,153.47265625
2020-03-14,
2020-03-15,
2020-03-16,130.85227966308594
2020-03-17,141.62620544433594
2020-03-18,135.66429138183594
2020-03-19,137.89642333984375
2020-03-20,132.71719360351562
2020-03-21,
2020-03-22,
2020-03-23,131.39337158203125
2020-03-24,143.33651733398438
2020-03-25,141.9644012451172
2020-03-26,150.8444061279297
2020-03-27,144.65061950683594
2020-03-28,
2020-03-29,
2020-03-30,154.825439453125
2020-03-31,152.3904266357422
2020-04-01,146.97933959960938
2020-04-02,150.0230712890625
2020-04-03,148.6413116455078
2020-04-04,
2020-04-05,
2020-04-06,159.69546508789062
2020-04-07,157.97549438476562
2020-04-08,159.5601806640625
2020-04-09,159.56982421875
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,159.9273223876953
2020-04-14,167.8411102294922
2020-04-15,166.08248901367188
2020-04-16,171.0684356689453
2020-04-17,172.57579040527344
2020-04-18,
2020-04-19,
2020-04-20,169.15521240234375
2020-04-21,162.159423828125
2020-04-22,167.6671600341797
2020-04-23,165.6379852294922
2020-04-24,168.6624298095703
2020-04-25,
2020-04-26,
2020-04-27,168.1792755126953
2020-04-28,164.0823211669922
2020-04-29,171.44528198242188
2020-04-30,173.16525268554688
2020-05-01,168.6817626953125
2020-05-02,
2020-05-03,
2020-05-04,172.8077392578125
2020-05-05,174.66294860839844
2020-05-06,176.38291931152344
2020-05-07,177.4071807861328
2020-05-08,178.45074462890625
2020-05-09,
2020-05-10,
2020-05-11,180.44129943847656
2020-05-12,176.35394287109375
2020-05-13,173.6870574951172
2020-05-14,174.44073486328125
2020-05-15,176.98202514648438
2020-05-16,
2020-05-17,
2020-05-18,178.67300415039062
2020-05-19,177.43617248535156
2020-05-20,179.89732360839844
2020-05-21,177.73654174804688
2020-05-22,177.8140411376953
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,175.93429565429688
2020-05-27,176.16677856445312
2020-05-28,175.76953125
2020-05-29,177.56211853027344
2020-05-30,
2020-05-31,
2020-06-01,177.1551971435547
2020-06-02,179.1706085205078
2020-06-03,179.60662841796875
2020-06-04,177.2423858642578
2020-06-05,181.3895263671875
2020-06-06,
2020-06-07,
2020-06-08,182.5135040283203
2020-06-09,183.9088134765625
2020-06-10,190.7303009033203
2020-06-11,180.48837280273438
2020-06-12,181.9127960205078
2020-06-13,
2020-06-14,
2020-06-15,183.07553100585938
2020-06-16,187.56179809570312
2020-06-17,188.2110137939453
2020-06-18,190.2264862060547
2020-06-19,189.09275817871094
2020-06-20,
2020-06-21,
2020-06-22,194.34451293945312
2020-06-23,195.64292907714844
2020-06-24,191.69924926757812
2020-06-25,194.12164306640625
2020-06-26,190.2361297607422
2020-06-27,
2020-06-28,
2020-06-29,192.28065490722656
2020-06-30,197.19325256347656
2020-07-01,198.34634399414062
2020-07-02,199.85794067382812
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,204.16012573242188
2020-07-07,201.78614807128906
2020-07-08,206.22398376464844
2020-07-09,207.66775512695312
2020-07-10,207.0379180908203
2020-07-11,
2020-07-12,
2020-07-13,200.642822265625
2020-07-14,201.883056640625
2020-07-15,201.58265686035156
2020-07-16,197.590576171875
2020-07-17,196.58282470703125
2020-07-18,
2020-07-19,
2020-07-20,205.0321502685547
2020-07-21,202.27064514160156
2020-07-22,205.1775360107422
2020-07-23,196.2533721923828
2020-07-24,195.05186462402344
2020-07-25,
2020-07-26,
2020-07-27,197.52273559570312
2020-07-28,195.7495574951172
2020-07-29,197.7261962890625
2020-07-30,197.57118225097656
2020-07-31,198.64674377441406
2020-08-01,
2020-08-02,
2020-08-03,209.81883239746094
2020-08-04,206.66970825195312
2020-08-05,206.33058166503906
2020-08-06,209.63475036621094
2020-08-07,205.88485717773438
2020-08-08,
2020-08-09,
2020-08-10,201.78614807128906
2020-08-11,197.06732177734375
2020-08-12,202.6969757080078
2020-08-13,202.22218322753906
2020-08-14,202.4159698486328
2020-08-15,
2020-08-16,
2020-08-17,203.7531280517578
2020-08-18,204.92562866210938
2020-08-19,203.6823272705078
2020-08-20,208.42230224609375
2020-08-21,206.9070587158203
2020-08-22,
2020-08-23,
2020-08-24,207.55784606933594
2020-08-25,210.25804138183594
2020-08-26,214.80372619628906
2020-08-27,220.0779266357422
2020-08-28,222.34107971191406
2020-08-29,
2020-08-30,
2020-08-31,219.0580596923828
2020-09-01,220.74810791015625
2020-09-02,225.00244140625
2020-09-03,211.0642547607422
2020-09-04,208.1017608642578
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,196.84437561035156
2020-09-09,205.2266845703125
2020-09-10,199.47657775878906
2020-09-11,198.17501831054688
2020-09-12,
2020-09-13,
2020-09-14,199.5154571533203
2020-09-15,202.78872680664062
2020-09-16,199.16578674316406
2020-09-17,197.08718872070312
2020-09-18,194.6394805908203
2020-09-19,
2020-09-20,
2020-09-21,196.727783203125
2020-09-22,201.46775817871094
2020-09-23,194.8337860107422
2020-09-24,197.35911560058594
2020-09-25,201.85630798339844
2020-09-26,
2020-09-27,
2020-09-28,203.4298095703125
2020-09-29,201.31234741210938
2020-09-30,204.29428100585938
2020-10-01,206.3631134033203
2020-10-02,200.2730712890625
2020-10-03,
2020-10-04,
2020-10-05,204.3428497314453
2020-10-06,200.00108337402344
2020-10-07,203.80862426757812
2020-10-08,204.53709411621094
2020-10-09,209.6170196533203
2020-10-10,
2020-10-11,
2020-10-12,215.0465545654297
2020-10-13,216.46470642089844
2020-10-14,214.5220947265625
2020-10-15,213.35650634765625
2020-10-16,213.35650634765625
2020-10-17,
2020-10-18,
2020-10-19,208.07261657714844
2020-10-20,208.49026489257812
2020-10-21,208.635986328125
2020-10-22,208.723388671875
2020-10-23,210.02493286132812
2020-10-24,
2020-10-25,
2020-10-26,204.05140686035156
2020-10-27,207.13043212890625
2020-10-28,196.86375427246094
2020-10-29,198.84523010253906
2020-10-30,196.65982055664062
2020-10-31,
2020-11-01,
2020-11-02,196.52383422851562
2020-11-03,200.5061492919922
2020-11-04,210.1803436279297
2020-11-05,216.88233947753906
2020-11-06,217.30001831054688
2020-11-07,
2020-11-08,
2020-11-09,212.12295532226562
2020-11-10,204.95474243164062
2020-11-11,210.33575439453125
2020-11-12,209.2576141357422
2020-11-13,210.29689025878906
2020-11-14,
2020-11-15,
2020-11-16,210.99623107910156
2020-11-17,208.3057403564453
2020-11-18,205.55950927734375
2020-11-19,206.86444091796875
2020-11-20,204.8874969482422
2020-11-21,
2020-11-22,
2020-11-23,204.61488342285156
2020-11-24,208.26678466796875
2020-11-25,208.27651977539062
2020-11-26,
2020-11-27,209.60096740722656
2020-11-28,
2020-11-29,
2020-11-30,208.47129821777344
2020-12-01,210.55532836914062
2020-12-02,209.73727416992188
2020-12-03,208.63685607910156
2020-12-04,208.7537078857422
2020-12-05,
2020-12-06,
2020-12-07,208.685546875
2020-12-08,210.36053466796875
2020-12-09,206.26065063476562
2020-12-10,205.01416015625
2020-12-11,207.6824951171875
2020-12-12,
2020-12-13,
2020-12-14,208.59788513183594
2020-12-15,208.5297393798828
2020-12-16,213.54502868652344
2020-12-17,213.68136596679688
2020-12-18,212.87310791015625
2020-12-19,
2020-12-20,
2020-12-21,216.7684326171875
